GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
60,-76.4781,-26409.6766,-4798.4343,116.54691624,-26486.1547,-4681.8873837599995,-31168.04208376
61,88.8241,-26523.9117,-4755.1946,117.35433576,-26435.0876,-4637.84026424,-31072.92786424
62,-1016.1307,-26420.9042,-4818.9385,116.67243096,-27437.034900000002,-4702.26606904,-32139.300969040003
63,-379.4091,-26595.8114,-4762.9098,118.34184959999999,-26975.2205,-4644.5679504,-31619.7884504
64,-748.3943,-26395.2658,-4837.0761,120.24672192,-27143.6601,-4716.82937808,-31860.48947808
65,-776.3988,-26285.9187,-4892.4225,118.11008016000001,-27062.317499999997,-4774.31241984,-31836.629919839997
66,-475.5781,-26615.4105,-4711.9443,119.49480504,-27090.9886,-4592.44949496,-31683.438094959998
67,-538.5268,-26525.2623,-4814.3253,121.78429200000001,-27063.789099999998,-4692.541008,-31756.330108
68,-676.6189,-26481.0779,-4905.701,120.23414207999998,-27157.6968,-4785.46685792,-31943.163657920002
69,-689.4,-26439.9721,-4867.5972,118.77023376,-27129.3721,-4748.82696624,-31878.199066240002
70,-571.086,-26588.5742,-4768.1747,118.4942556,-27159.6602,-4649.6804444,-31809.3406444
71,-763.5128,-26421.8,-4891.6677,121.52738375999999,-27185.3128,-4770.14031624,-31955.453116239998
72,-301.9993,-26793.8709,-4601.1271,118.90324727999999,-27095.8702,-4482.22385272,-31578.094052720004
73,-407.2363,-26537.0131,-4841.7142,121.78272167999998,-26944.2494,-4719.931478320001,-31664.180878320003
74,-163.2876,-26594.7144,-4793.8008,121.54426631999999,-26758.002,-4672.25653368,-31430.25853368
75,-698.7911,-26651.7772,-4700.3842,121.75008695999999,-27350.5683,-4578.634113040001,-31929.20241304
76,-1203.0157,-26738.9354,-4751.8362,122.1260724,-27941.9511,-4629.710127599999,-32571.661227599998
77,-993.7034,-26648.7442,-4711.9518,118.41140808,-27642.4476,-4593.54039192,-32235.98799192
78,-846.4399,-26510.9721,-4784.4424,121.22686079999998,-27357.412,-4663.2155391999995,-32020.6275392
79,-921.1483,-26410.6239,-4853.4076,123.22567656,-27331.7722,-4730.18192344,-32061.95412344
80,424.1072,-26268.2006,-5037.3896,125.11943855999999,-25844.0934,-4912.27016144,-30756.36356144
81,-445.4678,-26188.969,-5149.1114,122.02663536000001,-26634.4368,-5027.08476464,-31661.521564639996
82,-812.8473,-26402.6411,-4860.9543,120.63924791999999,-27215.488400000002,-4740.31505208,-31955.803452080003
83,-815.9894,-26490.2862,-4855.1209,126.36723455999999,-27306.275599999997,-4728.75366544,-32035.029265439996
84,-855.8186,-26543.7031,-4743.0943,123.17180615999999,-27399.521699999998,-4619.922493839999,-32019.444193839998
85,-1622.7468,-26254.1593,-4963.57,123.69107376,-27876.9061,-4839.87892624,-32716.78502624
86,-189.4907,-26547.3746,-4849.3249,122.45710463999998,-26736.865299999998,-4726.86779536,-31463.733095359996
87,-932.7427,-26626.0833,-4724.242,120.18288384,-27558.825999999997,-4604.0591161600005,-32162.88511616
88,-963.4991,-26526.314,-4890.2146,120.56429664,-27489.8131,-4769.65030336,-32259.463403359998
89,-880.5142,-26346.1012,-4943.7165,120.2992704,-27226.615400000002,-4823.417229600001,-32050.032629600006
90,-946.4521,-26358.7519,-4879.3444,121.504446,-27305.203999999998,-4757.839954,-32063.043954
91,426.5366,-26485.5088,-4876.8761,122.11953695999999,-26058.9722,-4754.75656304,-30813.728763040002
92,-505.7429,-26409.6631,-4956.2629,120.23962632000001,-26915.406000000003,-4836.02327368,-31751.429273680005
93,-1067.3826,-26285.5419,-4925.5035,120.81314591999998,-27352.9245,-4804.690354079999,-32157.61485408
94,-437.4341,-26319.5333,-4940.6743,120.1471992,-26756.967399999998,-4820.5271008,-31577.494500799996
95,208.9534,-26385.6622,-4936.535,121.70693664,-26176.7088,-4814.82806336,-30991.53686336
96,-615.587,-26638.5285,-4705.6842,117.4737456,-27254.1155,-4588.210454399999,-31842.3259544
97,-620.2808,-26622.9778,-4713.3775,116.30578464,-27243.2586,-4597.07171536,-31840.33031536
98,-354.7829,-26515.2413,-4742.0271,114.28227863999999,-26870.0242,-4627.74482136,-31497.76902136
99,-1061.51,-26674.8398,-4650.6925,116.71892928,-27736.3498,-4533.97357072,-32270.32337072
100,-830.5059,-26589.37,-4720.0526,113.83718904,-27419.8759,-4606.21541096,-32026.091310959997
101,-250.6954,-26548.2496,-4802.0515,118.42317144,-26798.945,-4683.628328559999,-31482.57332856
102,-679.6324,-26443.6008,-4866.4382,118.92465576000001,-27123.2332,-4747.51354424,-31870.746744239997
103,262.5628,-26330.7036,-4937.8106,118.70360711999999,-26068.1408,-4819.10699288,-30887.247792880004
104,-1158.8206,-26556.3353,-4798.0696,118.74994991999998,-27715.155899999998,-4679.3196500799995,-32394.47555008
105,93.3639,-26516.9821,-4853.4758,119.39328359999999,-26423.6182,-4734.0825164,-31157.700716400002
106,-152.6863,-26536.8575,-4816.3338,119.38640183999999,-26689.5438,-4696.94739816,-31386.491198159998
107,-723.3237,-26500.4265,-4842.9001,120.95578512,-27223.750200000002,-4721.94431488,-31945.69451488
108,-1107.1755,-26606.3436,-4808.1041,117.55649808,-27713.5191,-4690.54760192,-32404.06670192
109,-1002.2994,-26510.0933,-4837.023,116.79514703999999,-27512.3927,-4720.22785296,-32232.62055296
110,-64.8613,-26493.1267,-4893.6205,117.62572032,-26557.988,-4775.99477968,-31333.982779680002
111,-618.6272,-26356.6384,-5017.5861,120.17547287999999,-26975.2656,-4897.410627120001,-31872.67622712
112,-1024.5314,-26571.4537,-4848.8877,118.20635424000001,-27595.985099999998,-4730.68134576,-32326.666445759998
113,-628.5199,-26484.724,-4884.2083,117.66902832,-27113.243899999998,-4766.539271680001,-31879.78317168
114,-381.6871,-26399.8484,-4929.7056,118.21192703999999,-26781.535499999998,-4811.49367296,-31593.02917296
115,-921.649,-26623.0677,-4744.611,115.6825368,-27544.7167,-4628.9284632,-32173.645163200003
116,-469.8656,-26844.7766,-4499.955,114.20422344,-27314.642200000002,-4385.75077656,-31700.392976560004
